iter	Passed	Remaining
865	4196	649
866	4201	644
867	4205	639
868	4210	634
869	4214	629
870	4218	624
871	4222	619
872	4226	614
873	4231	609
874	4235	605
875	4240	600
876	4245	595
877	4250	590
878	4254	585
879	4258	580
880	4263	575
881	4267	570
882	4272	566
883	4277	561
884	4281	556
885	4286	551
886	4290	546
887	4294	541
888	4298	536
889	4302	531
890	4307	527
891	4312	522
892	4317	517
893	4321	512
894	4325	507
895	4330	502
896	4335	497
897	4339	492
898	4343	487
899	4348	483
900	4352	478
901	4357	473
902	4362	468
903	4366	463
904	4370	458
905	4376	454
906	4381	449
907	4385	444
908	4389	439
909	4394	434
910	4398	429
911	4402	424
912	4407	420
913	4412	415
914	4416	410
915	4421	405
916	4425	400
917	4430	395
918	4434	390
919	4439	386
920	4444	381
921	4448	376
922	4453	371
923	4457	366
924	4461	361
925	4466	356
926	4470	352
927	4475	347
928	4480	342
929	4484	337
930	4489	332
931	4494	327
932	4499	323
933	4503	318
934	4507	313
935	4511	308
936	4516	303
937	4521	298
938	4525	294
939	4530	289
940	4535	284
941	4540	279
942	4544	274
943	4549	269
944	4553	265
945	4557	260
946	4562	255
947	4566	250
948	4570	245
949	4574	240
950	4578	235
951	4583	231
952	4587	226
953	4592	221
954	4596	216
955	4600	211
956	4605	206
957	4610	202
958	4614	197
959	4619	192
960	4624	187
961	4628	182
962	4633	178
963	4637	173
964	4642	168
965	4645	163
966	4649	158
967	4653	153
968	4658	149
969	4663	144
970	4668	139
971	4672	134
972	4676	129
973	4681	124
974	4685	120
975	4690	115
976	4694	110
977	4699	105
978	4704	100
979	4709	96
980	4713	91
981	4717	86
982	4722	81
983	4725	76
984	4730	72
985	4734	67
986	4738	62
987	4743	57
988	4747	52
989	4752	48
990	4756	43
991	4761	38
992	4765	33
993	4769	28
994	4774	23
995	4779	19
996	4784	14
997	4788	9
998	4792	4
999	4796	0
